route_id,route_short_name,route_long_name,route_type
336,B01,Ruta B01 regreso,3
337,B02,Ruta B02 ida,3
338,B02,Ruta B02 regreso,3
339,B02n,Ruta B02n ida,3
340,B03,Ruta B03 ida,3
341,B04,Ruta B04 ida,3
342,B05,Ruta B05 ida,3
343,B05,Ruta B05 regreso,3
344,B06,Ruta B06 ida,3
345,B06,Ruta B06 regreso,3
346,B07,Ruta B07 ida,3
347,B07,Ruta B07 regreso,3
348,B08,Ruta B08 ida,3
349,B08,Ruta B08 regreso,3
350,B09,Ruta B09 ida,3
351,B10,Ruta B10 ida,3
352,B10,Ruta B10 regreso,3
353,B11,Ruta B11 ida,3
354,B11,Ruta B11 regreso,3
355,B12,Ruta B12 ida,3
356,B12,Ruta B12 regreso,3
357,B12c,Ruta B12c ida,3
358,B12c,Ruta B12c regreso,3
359,B13,Ruta B13 ida,3
360,B13,Ruta B13 regreso,3
361,B14,Ruta B14 ida,3
362,B15,Ruta B15 ida,3
363,B15,Ruta B15 regreso,3
364,B16,Ruta B16 ida,3
365,B16,Ruta B16 regreso,3
366,B17,Ruta B17 ida,3
367,B17,Ruta B17 regreso,3
368,B18,Ruta B18 ida,3
369,B18,Ruta B18 regreso,3
370,B18e,Ruta B18e ida,3
371,B18e,Ruta B18e regreso,3
372,B19,Ruta B19 regreso,3
373,B20,Ruta B20 ida,3
374,B21,Ruta B21 ida,3
375,B21,Ruta B21 regreso,3
376,B22,Ruta B22 ida,3
377,B22,Ruta B22 regreso,3
378,B24,Ruta B24 ida,3
379,B25,Ruta B25 ida,3
380,B26,Ruta B26 ida,3
381,B26,Ruta B26 regreso,3
382,B27,Ruta B27 ida,3
383,B27,Ruta B27 regreso,3
384,B28,Ruta B28 ida,3
385,B29,Ruta B29 ida,3
386,B29,Ruta B29 regreso,3
387,B30n,Ruta B30n ida,3
388,B30n,Ruta B30n regreso,3
389,B31n,Ruta B31n ida,3
390,B31n,Ruta B31n regreso,3
391,B32,Ruta B32 ida,3
392,B33,Ruta B33 ida,3
393,B33,Ruta B33 regreso,3
394,B36,Ruta B36 ida,3
395,B36,Ruta B36 regreso,3
396,B43,Ruta B43 ida,3
397,B43,Ruta B43 regreso,3
398,B45,Ruta B45 ida,3
399,B45,Ruta B45 regreso,3
400,C01,Ruta C01 ida,3
401,C01,Ruta C01 regreso,3
402,C01c,Ruta C01c ida,3
